,colummn
1444,one
1445,little
1446,eyes
1447,said
1448,nothing
1449,perhaps
1450,understand
1451,english
1452,thought
1453,alice
1454,dare
1455,say
1456,french
1457,mouse
1458,come
1459,william
1460,conqueror
1461,began
1462,où
1463,est
1464,chatte
1465,first
1466,sentence
1467,french
1468,lesson
1469,book
1470,mouse
1471,gave
1472,sudden
1473,leap
1474,water
1475,seemed
1476,quiver
1477,fright
1478,oh
1479,beg
1480,pardon
1481,cried
1482,alice
1483,hastily
1484,afraid
1485,hurt
1486,poor
1487,animal
1488,feelings
1489,quite
1490,forgot
1491,like
1492,cats
1493,like
1494,cats
1495,cried
1496,mouse
1497,shrill
1498,passionate
1499,voice
1500,would
1501,like
1502,cats
1503,well
1504,perhaps
1505,said
1506,alice
1507,soothing
1508,tone
1509,angry
1510,yet
1511,wish
1512,could
1513,show
1514,cat
1515,dinah
1516,think
1517,take
1518,fancy
1519,cats
1520,could
1521,see
1522,dear
1523,quiet
1524,thing
1525,mouse
1526,bristling
1527,felt
1528,certain
1529,must
1530,really
1531,offended
1532,talk
1533,rather
1534,indeed
1535,cried
1536,mouse
1537,trembling
1538,end
1539,tail
1540,would
1541,talk
1542,subject
1543,family
1544,always
1545,hated
1546,cats
1547,pg
1548,13
1549,nasty
1550,low
1551,vulgar
1552,things
1553,let
1554,hear
1555,name
1556,alice
1557,mad
1558,tea
1559,party
1560,indeed
1561,said
1562,alice
1563,great
1564,hurry
1565,change
1566,subject
1567,conversation
1568,fond
1569,dogs
1570,nice
1571,little
1572,dog
1573,near
1574,house
1575,like
1576,show
1577,kills
1578,rats
1579,oh
1580,dear
1581,cried
1582,alice
1583,sorrowful
1584,tone
1585,afraid
1586,offended
1587,mouse
1588,swimming
1589,away
1590,hard
1591,could
1592,go
1593,making
1594,quite
1595,commotion
1596,pool
1597,went
1598,called
1599,softly
1600,mouse
1601,dear
1602,come
1603,back
1604,talk
1605,cats
1606,dogs
1607,either
1608,like
1609,mouse
1610,heard
1611,turned
1612,round
1613,swam
1614,slowly
1615,back
1616,face
1617,quite
1618,pale
1619,said
1620,low
1621,trembling
1622,voice
1623,let
1624,us
1625,get
1626,shore
1627,tell
1628,history
1629,understand
1630,hate
1631,cats
1632,dogs
1633,high
1634,time
1635,go
1636,pool
1637,getting
1638,quite
1639,crowded
